device_id,timestamp,temperature,humidity
A100,2024-04-01 00:00:00,21.89,47.67
B200,2024-04-01 00:00:00,19.93,50.06
C300,2024-04-01 00:00:00,21.07,44.83
A100,2024-04-01 00:10:00,22.09,58.04
B200,2024-04-01 00:10:00,21.27,57.49
C300,2024-04-01 00:10:00,26.23,45.23
A100,2024-04-01 00:20:00,22.02,60.52
B200,2024-04-01 00:20:00,21.76,50.18
C300,2024-04-01 00:20:00,18.66,47.34
A100,2024-04-01 00:30:00,23.11,62.15
B200,2024-04-01 00:30:00,21.61,41.69
C300,2024-04-01 00:30:00,19.19,49.82
A100,2024-04-01 00:40:00,24.35,53.19
B200,2024-04-01 00:40:00,22.92,56.55
C300,2024-04-01 00:40:00,20.56,50.1
A100,2024-04-01 00:50:00,20.96,48.64
B200,2024-04-01 00:50:00,19.99,48.28
C300,2024-04-01 00:50:00,21.94,48.14
A100,2024-04-01 01:00:00,21.68,52.03
B200,2024-04-01 01:00:00,24.48,56.56
C300,2024-04-01 01:00:00,23.52,43.7
A100,2024-04-01 01:10:00,21.28,48.63
B200,2024-04-01 01:10:00,20.69,51.71
C300,2024-04-01 01:10:00,18.81,58.47
A100,2024-04-01 01:20:00,24.39,52.39
B200,2024-04-01 01:20:00,21.88,56.14
C300,2024-04-01 01:20:00,23.38,55.53
A100,2024-04-01 01:30:00,21.88,58.95
B200,2024-04-01 01:30:00,24.33,52.55
C300,2024-04-01 01:30:00,24.51,47.9
A100,2024-04-01 01:40:00,19.66,51.61
B200,2024-04-01 01:40:00,21.89,49.01
C300,2024-04-01 01:40:00,24.43,50.84
A100,2024-04-01 01:50:00,22.53,48.36
B200,2024-04-01 01:50:00,23.76,53.51
C300,2024-04-01 01:50:00,23.75,47.51
A100,2024-04-01 02:00:00,24.61,59.19
B200,2024-04-01 02:00:00,23.68,45.95
C300,2024-04-01 02:00:00,20.4,48.12
A100,2024-04-01 02:10:00,20.87,49.64
B200,2024-04-01 02:10:00,23.26,51.45
C300,2024-04-01 02:10:00,22.4,48.79
A100,2024-04-01 02:20:00,21.85,53.98
B200,2024-04-01 02:20:00,17.98,49.94
C300,2024-04-01 02:20:00,22.58,53.92
A100,2024-04-01 02:30:00,19.98,44.69
B200,2024-04-01 02:30:00,23.17,40.48
C300,2024-04-01 02:30:00,24.66,51.13
A100,2024-04-01 02:40:00,25.12,44.56
B200,2024-04-01 02:40:00,21.13,37.96
C300,2024-04-01 02:40:00,20.41,49.08
A100,2024-04-01 02:50:00,18.07,48.03
B200,2024-04-01 02:50:00,18.03,48.71
C300,2024-04-01 02:50:00,24.29,49.83
A100,2024-04-01 03:00:00,25.32,53.93
B200,2024-04-01 03:00:00,24.7,46.18
C300,2024-04-01 03:00:00,20.42,51.73
A100,2024-04-01 03:10:00,18.84,52.36
B200,2024-04-01 03:10:00,21.35,56.65
C300,2024-04-01 03:10:00,23.36,55.48
A100,2024-04-01 03:20:00,20.49,55.24
B200,2024-04-01 03:20:00,24.89,49.81
C300,2024-04-01 03:20:00,20.52,46.39
A100,2024-04-01 03:30:00,24.48,63.42
B200,2024-04-01 03:30:00,20.04,44.71
C300,2024-04-01 03:30:00,23.84,46.23
A100,2024-04-01 03:40:00,24.04,52.33
B200,2024-04-01 03:40:00,21.95,52.21
C300,2024-04-01 03:40:00,22.76,49.1
A100,2024-04-01 03:50:00,18.49,50.89
B200,2024-04-01 03:50:00,25.15,41.96
C300,2024-04-01 03:50:00,20.07,52.13
A100,2024-04-01 04:00:00,22.08,52.06
B200,2024-04-01 04:00:00,20.6,55.81
C300,2024-04-01 04:00:00,22.09,53.48
A100,2024-04-01 04:10:00,22.64,50.88
B200,2024-04-01 04:10:00,23.25,50.93
C300,2024-04-01 04:10:00,19.62,55.44
A100,2024-04-01 04:20:00,23.64,39.47
B200,2024-04-01 04:20:00,20.69,55.21
C300,2024-04-01 04:20:00,18.35,54.72
