datum,region,proizvod,kolicina,cena
2024-03-01,Beograd,Hleb,86,3.72
2024-03-01,Beograd,Mleko,88,1.86
2024-03-01,Beograd,Sir,52,3.29
2024-03-01,Beograd,Jaja,91,1.2
2024-03-01,Beograd,Jogurt,72,1.04
2024-03-01,Novi Sad,Hleb,36,4.45
2024-03-01,Novi Sad,Mleko,48,2.32
2024-03-01,Novi Sad,Sir,99,1.16
2024-03-01,Novi Sad,Jaja,16,4.19
2024-03-01,Novi Sad,Jogurt,76,3.33
2024-03-01,Niš,Hleb,80,1.25
2024-03-01,Niš,Mleko,96,1.33
2024-03-01,Niš,Sir,95,2.0
2024-03-01,Niš,Jaja,36,2.89
2024-03-01,Niš,Jogurt,13,2.71
2024-03-02,Beograd,Hleb,57,2.39
2024-03-02,Beograd,Mleko,12,2.03
2024-03-02,Beograd,Sir,37,1.04
2024-03-02,Beograd,Jaja,40,1.58
2024-03-02,Beograd,Jogurt,95,1.34
2024-03-02,Novi Sad,Hleb,30,1.19
2024-03-02,Novi Sad,Mleko,96,2.78
2024-03-02,Novi Sad,Sir,98,3.46
2024-03-02,Novi Sad,Jaja,29,3.64
2024-03-02,Novi Sad,Jogurt,16,2.64
2024-03-02,Niš,Hleb,22,3.09
2024-03-02,Niš,Mleko,25,1.5
2024-03-02,Niš,Sir,15,2.81
2024-03-02,Niš,Jaja,14,1.75
2024-03-02,Niš,Jogurt,41,2.41
2024-03-03,Beograd,Hleb,39,1.11
2024-03-03,Beograd,Mleko,69,2.0
2024-03-03,Beograd,Sir,37,2.96
2024-03-03,Beograd,Jaja,29,3.9
2024-03-03,Beograd,Jogurt,91,4.24
2024-03-03,Novi Sad,Hleb,52,3.45
2024-03-03,Novi Sad,Mleko,84,4.5
2024-03-03,Novi Sad,Sir,54,3.02
2024-03-03,Novi Sad,Jaja,93,1.8
2024-03-03,Novi Sad,Jogurt,63,3.5
2024-03-03,Niš,Hleb,15,1.37
2024-03-03,Niš,Mleko,87,1.24
2024-03-03,Niš,Sir,93,1.05
2024-03-03,Niš,Jaja,53,4.4
2024-03-03,Niš,Jogurt,35,1.47
2024-03-04,Beograd,Hleb,23,2.12
2024-03-04,Beograd,Mleko,45,4.11
2024-03-04,Beograd,Sir,95,1.51
2024-03-04,Beograd,Jaja,69,1.25
2024-03-04,Beograd,Jogurt,19,2.33
2024-03-04,Novi Sad,Hleb,30,2.07
2024-03-04,Novi Sad,Mleko,42,2.2
2024-03-04,Novi Sad,Sir,99,1.07
2024-03-04,Novi Sad,Jaja,74,2.56
2024-03-04,Novi Sad,Jogurt,99,3.85
2024-03-04,Niš,Hleb,18,3.5
2024-03-04,Niš,Mleko,54,4.18
2024-03-04,Niš,Sir,32,2.11
2024-03-04,Niš,Jaja,81,1.42
2024-03-04,Niš,Jogurt,69,4.21
2024-03-05,Beograd,Hleb,89,3.26
2024-03-05,Beograd,Mleko,16,4.08
2024-03-05,Beograd,Sir,18,2.31
2024-03-05,Beograd,Jaja,56,3.35
2024-03-05,Beograd,Jogurt,19,1.03
2024-03-05,Novi Sad,Hleb,57,4.15
2024-03-05,Novi Sad,Mleko,96,1.29
2024-03-05,Novi Sad,Sir,80,2.51
2024-03-05,Novi Sad,Jaja,62,2.27
2024-03-05,Novi Sad,Jogurt,29,1.15
2024-03-05,Niš,Hleb,78,1.59
2024-03-05,Niš,Mleko,78,3.04
2024-03-05,Niš,Sir,11,1.26
2024-03-05,Niš,Jaja,30,3.15
2024-03-05,Niš,Jogurt,91,4.33
2024-03-06,Beograd,Hleb,21,2.91
2024-03-06,Beograd,Mleko,47,1.63
2024-03-06,Beograd,Sir,87,3.13
2024-03-06,Beograd,Jaja,76,1.56
2024-03-06,Beograd,Jogurt,40,4.35
2024-03-06,Novi Sad,Hleb,57,1.27
2024-03-06,Novi Sad,Mleko,90,3.18
2024-03-06,Novi Sad,Sir,84,1.85
2024-03-06,Novi Sad,Jaja,38,3.52
2024-03-06,Novi Sad,Jogurt,90,1.76
2024-03-06,Niš,Hleb,22,3.14
2024-03-06,Niš,Mleko,73,3.35
2024-03-06,Niš,Sir,62,2.27
2024-03-06,Niš,Jaja,86,4.12
2024-03-06,Niš,Jogurt,37,1.6
2024-03-07,Beograd,Hleb,66,4.32
2024-03-07,Beograd,Mleko,96,4.37
2024-03-07,Beograd,Sir,61,2.27
2024-03-07,Beograd,Jaja,44,1.79
2024-03-07,Beograd,Jogurt,42,2.54
2024-03-07,Novi Sad,Hleb,82,3.35
2024-03-07,Novi Sad,Mleko,18,1.12
2024-03-07,Novi Sad,Sir,76,1.24
2024-03-07,Novi Sad,Jaja,45,2.21
2024-03-07,Novi Sad,Jogurt,53,1.56
2024-03-07,Niš,Hleb,69,1.38
2024-03-07,Niš,Mleko,96,2.46
2024-03-07,Niš,Sir,99,2.65
2024-03-07,Niš,Jaja,49,1.34
2024-03-07,Niš,Jogurt,74,4.31
2024-03-08,Beograd,Hleb,27,2.08
